target,size,n,seed,model,calibration,roc_auc,average_precision,brier,ece,log_loss,elapsed_seconds,selected
recurrence,100,100,42,lightgbm,raw,0.5316531653165316,0.3023511677485445,0.1942144063032591,0.08851389859188268,0.5965995773290563,0.12359970808029175,3
recurrence,100,100,42,lightgbm,calibrated,0.4683468346834683,0.26007046056017075,0.1865548131951641,0.026885733926784887,0.560889397866056,0.12359970808029175,3
recurrence,100,100,42,logistic,raw,0.6771677167716772,0.5035657353221403,0.2558245323849434,0.25457648357272533,1.3030593202947047,0.032303167041391134,3
recurrence,100,100,42,logistic,calibrated,0.6765676567656765,0.4793233110797162,0.16889346506130803,0.04990709546623164,0.5179346584839108,0.032303167041391134,3
recurrence,100,100,42,rf,raw,0.6783678367836784,0.575788846055726,0.16638150912106134,0.12649253731343282,0.51857797826411,1.2312974999658763,0
recurrence,100,100,42,rf,calibrated,0.6783678367836784,0.575788846055726,0.18008408059501113,0.017448810678418688,0.5436714243637759,1.2312974999658763,0
recurrence,100,100,42,rf_smote,raw,0.6482148214821484,0.4529423100961605,0.17656782752902153,0.08432835820895525,0.5382525421147667,1.3838090826757252,0
recurrence,100,100,42,rf_smote,calibrated,0.6482148214821484,0.4529423100961605,0.18370930088589654,0.026650861605333698,0.5528179991458572,1.3838090826757252,0
recurrence,100,100,42,tabpfn,raw,0.7257725772577258,0.5979114809732196,0.16889064674365115,0.12823628467410358,0.5156818914926095,13.499444667249918,0
recurrence,100,100,42,tabpfn,calibrated,0.7257725772577258,0.5979114809732196,0.1775554569988181,0.052162627061743704,0.5362269021229605,13.499444667249918,0
recurrence,100,100,42,xgboost,raw,0.525952595259526,0.29823086707049923,0.19349193933429304,0.07488196423805471,0.5896814673742429,0.1355205844156444,2
recurrence,100,100,42,xgboost,calibrated,0.4740474047404741,0.24229181995428611,0.18745737048012265,0.024647197235800975,0.5636320492852613,0.1355205844156444,2
recurrence,100,100,43,lightgbm,raw,0.6276627662766276,0.4208065976386415,0.19178706368104245,0.16457657162282213,0.6049346973879776,0.11344166612252593,2
recurrence,100,100,43,lightgbm,calibrated,0.6276627662766276,0.4208065976386415,0.17984712771401146,0.08168394856778213,0.5473937192538737,0.11344166612252593,2
recurrence,100,100,43,logistic,raw,0.6576657665766577,0.5498386916344988,0.17810957736351488,0.031052381113982046,0.5382173875582346,0.031236915849149227,0
recurrence,100,100,43,logistic,calibrated,0.6576657665766577,0.5498386916344988,0.1821487403444726,0.051636634891100666,0.5485265765943375,0.031236915849149227,0
recurrence,100,100,43,rf,raw,0.7469246924692471,0.6038533187381485,0.15684378109452735,0.07074626865671642,0.48915273161162043,1.2220909581519663,0
recurrence,100,100,43,rf,calibrated,0.7469246924692471,0.6038533187381485,0.16013277862989955,0.0730496340951233,0.49518968184124074,1.2220909581519663,0
recurrence,100,100,43,rf_smote,raw,0.7242724272427243,0.6130768836435037,0.15816457957226238,0.11205579221320643,0.5058100926126577,1.409544374793768,2
recurrence,100,100,43,rf_smote,calibrated,0.7242724272427243,0.6130768836435037,0.1574964384555654,0.1252843485497199,0.5054413131664486,1.409544374793768,2
recurrence,100,100,43,tabpfn,raw,0.720972097209721,0.5909014319378375,0.14830649866056503,0.038726399694360904,0.47210385376172254,12.231636541895568,0
recurrence,100,100,43,tabpfn,calibrated,0.720972097209721,0.5909014319378375,0.14843904667451638,0.052103043409712474,0.47302695595334904,12.231636541895568,0
recurrence,100,100,43,xgboost,raw,0.6594659465946595,0.46140609453349,0.1759125034340617,0.06936444118340958,0.5492743087994655,0.13321704091504216,2
recurrence,100,100,43,xgboost,calibrated,0.6594659465946595,0.46140609453349,0.17370630050393132,0.043872666120741616,0.5323198735474217,0.13321704091504216,2
recurrence,100,100,44,lightgbm,raw,0.6216621662166216,0.3770303493543319,0.18489991860921462,0.0706063258326854,0.5564595619609132,0.12024466600269079,3
recurrence,100,100,44,lightgbm,calibrated,0.3783378337833783,0.19561001413751036,0.18762833763033848,0.02669810406637041,0.5640253499728113,0.12024466600269079,3
recurrence,100,100,44,logistic,raw,0.6657665766576658,0.5092807407828632,0.17805647413834305,0.03913130107066674,0.5379816328937833,0.029979709070175886,0
