target,size,reference,auc_difference,ci_low,ci_high,bootstrap_samples,bootstrap_seed
survival_status,50,rf,-0.022946428571428572,-0.06212678571428569,0.019122767857142765,2000,20260922
survival_status,50,rf_smote,0.026857142857142857,0.00026741071428571206,0.05293214285714283,2000,20260922
survival_status,50,lightgbm,0.05362500000000001,0.01008928571428571,0.09796830357142851,2000,20260922
survival_status,50,xgboost,0.03792857142857143,-0.003334821428571439,0.07828035714285701,2000,20260922
survival_status,50,logistic,0.0505,0.00296339285714285,0.10189553571428565,2000,20260922
survival_status,100,rf,-0.01864285714285714,-0.061629017857142844,0.022410714285714277,2000,20260922
survival_status,100,rf_smote,0.045000000000000005,0.014214285714285704,0.0759660714285714,2000,20260922
survival_status,100,lightgbm,0.05364285714285715,0.009338392857142842,0.09641830357142848,2000,20260922
survival_status,100,xgboost,0.06580357142857143,0.012140624999999973,0.11744464285714269,2000,20260922
survival_status,100,logistic,0.03975,-0.007755357142857149,0.09214821428571421,2000,20260922
survival_status,200,rf,-0.01930357142857143,-0.06878660714285711,0.027787946428571412,2000,20260922
survival_status,200,rf_smote,0.03576785714285714,-0.005608482142857143,0.07567008928571421,2000,20260922
survival_status,200,lightgbm,0.04485714285714286,-0.004500892857142878,0.0907160714285714,2000,20260922
survival_status,200,xgboost,0.062071428571428576,0.009666964285714275,0.11067857142857139,2000,20260922
survival_status,200,logistic,0.034535714285714295,-0.02543214285714285,0.09975982142857134,2000,20260922
survival_status,500,rf,0.0135,-0.03588035714285714,0.06066205357142856,2000,20260922
survival_status,500,rf_smote,0.050625,0.011656696428571419,0.09187544642857141,2000,20260922
survival_status,500,lightgbm,0.07989285714285714,0.019635714285714274,0.13343124999999995,2000,20260922
survival_status,500,xgboost,0.040357142857142855,-0.0066080357142857295,0.08685714285714281,2000,20260922
survival_status,500,logistic,0.07614285714285714,0.017102678571428567,0.14692946428571424,2000,20260922
survival_status,Full,rf,0.006357142857142856,-0.0457544642857143,0.056901785714285655,2000,20260922
survival_status,Full,rf_smote,0.05451785714285713,0.008891964285714284,0.10007946428571426,2000,20260922
survival_status,Full,lightgbm,0.06328571428571428,-0.0020455357142857063,0.12518749999999995,2000,20260922
survival_status,Full,xgboost,0.04092857142857143,-0.014620535714285737,0.09564642857142852,2000,20260922
survival_status,Full,logistic,0.07939285714285714,0.01292589285714286,0.1593973214285714,2000,20260922
survival_status,"Low-N mean (50,100,200)",rf,-0.020297619047619047,-0.06125074404761903,0.01937693452380952,2000,20260922
survival_status,"Low-N mean (50,100,200)",rf_smote,0.035875000000000004,0.0063491071428571424,0.06419806547619043,2000,20260922
survival_status,"Low-N mean (50,100,200)",lightgbm,0.05070833333333334,0.012569940476190464,0.08609330357142853,2000,20260922
survival_status,"Low-N mean (50,100,200)",xgboost,0.05526785714285714,0.013183482142857134,0.09433467261904757,2000,20260922
survival_status,"Low-N mean (50,100,200)",logistic,0.041595238095238095,-0.006481250000000004,0.0936678571428571,2000,20260922
recurrence,50,rf,0.03634863486348635,-0.003751875187518753,0.07619411941194121,2000,20260922
recurrence,50,rf_smote,0.06525652565256528,0.030692319231923212,0.0978251575157516,2000,20260922
recurrence,50,lightgbm,0.0823882388238824,0.029684968496849706,0.1353611611161116,2000,20260922
recurrence,50,xgboost,0.08067806780678069,0.019680468046804688,0.1447389738973898,2000,20260922
recurrence,50,logistic,0.0682868286828683,0.01295529552955296,0.1277535253525353,2000,20260922
recurrence,100,rf,0.007965796579657966,-0.025189018901890216,0.03974009900990101,2000,20260922
recurrence,100,rf_smote,0.04362436243624363,0.016020852085208526,0.06837946294629464,2000,20260922
recurrence,100,lightgbm,0.07817281728172817,0.035418166816681695,0.12055505550555061,2000,20260922
recurrence,100,xgboost,0.07521752175217522,0.02474497449744976,0.12499474947494756,2000,20260922
recurrence,100,logistic,0.07764776477647767,0.01665091509150917,0.14685643564356432,2000,20260922
recurrence,200,rf,0.004575457545754573,-0.034941869186918696,0.04445732073207319,2000,20260922
recurrence,200,rf_smote,0.03186318631863186,0.0019295679567956792,0.060891464146414664,2000,20260922
recurrence,200,lightgbm,0.038673867386738676,0.0062983798379838045,0.0721872187218722,2000,20260922
recurrence,200,xgboost,0.04086408640864086,0.003567356735673564,0.0791846684668467,2000,20260922
recurrence,200,logistic,0.06486648664866486,0.004496699669967003,0.12856510651065112,2000,20260922
recurrence,500,rf,0.021227122712271236,-0.027282478247824784,0.07436731173117313,2000,20260922
recurrence,500,rf_smote,0.012106210621062104,-0.01714746474647466,0.041649414941494135,2000,20260922
recurrence,500,lightgbm,0.06612661266126613,0.020308280828082812,0.1154027902790279,2000,20260922
recurrence,500,xgboost,0.04587458745874587,0.0010456045604560482,0.0944809480948095,2000,20260922
recurrence,500,logistic,0.015841584158415835,-0.03384938493849386,0.07518751875187521,2000,20260922
recurrence,Full,rf,0.016501650165016497,-0.03394876987698771,0.06887338733873385,2000,20260922
recurrence,Full,rf_smote,0.003525352535253523,-0.02387938793879388,0.028724122412241166,2000,20260922
recurrence,Full,lightgbm,0.05421542154215422,0.005277527752775277,0.1086153615361536,2000,20260922
recurrence,Full,xgboost,0.04284428442844285,-0.0006015601560156086,0.09157140714071409,2000,20260922
recurrence,Full,logistic,-0.0004200420042004217,-0.057460246024602445,0.06712196219621963,2000,20260922
recurrence,"Low-N mean (50,100,200)",rf,0.016296629662966296,-0.017723522352235246,0.04863636363636362,2000,20260922
recurrence,"Low-N mean (50,100,200)",rf_smote,0.04691469146914692,0.021108735873587362,0.0705893089308931,2000,20260922
recurrence,"Low-N mean (50,100,200)",lightgbm,0.06641164116411642,0.030117261726172632,0.10021052105210522,2000,20260922
recurrence,"Low-N mean (50,100,200)",xgboost,0.06558655865586559,0.022935293529352953,0.10605135513551359,2000,20260922
recurrence,"Low-N mean (50,100,200)",logistic,0.07026702670267027,0.01683943394339434,0.12975772577257724,2000,20260922
