target,size,n,model,calibration,roc_auc_mean,roc_auc_std,roc_auc_count,average_precision_mean,average_precision_std,average_precision_count,brier_mean,brier_std,brier_count,ece_mean,ece_std,ece_count,log_loss_mean,log_loss_std,log_loss_count
recurrence,100,100,lightgbm,raw,0.644029402940294,0.06865547988214653,10,0.4503228477165585,0.08861582987448532,10,0.17818081397503294,0.01782352806179399,10,0.12348403880311247,0.03513024450284242,10,0.6013978109098324,0.07423848401261998,10
recurrence,100,100,lightgbm,calibrated,0.5486648664866486,0.1189644310945409,5,0.3630122947250079,0.12956645120179908,5,0.18016104033020844,0.00945606444303112,5,0.06225737571544991,0.03407876177324985,5,0.551743261443921,0.023351975664988277,5
recurrence,100,100,logistic,raw,0.6445544554455446,0.02727140881051809,10,0.4657531711949117,0.06539459906006749,10,0.18548546473238173,0.02500275401717764,10,0.07537487588882193,0.06645226340260771,10,0.619643832070531,0.2404590434696619,10
recurrence,100,100,logistic,calibrated,0.6553255325532554,0.02025302527783763,5,0.48736486560609693,0.047451724160888595,5,0.17787218116167933,0.0062966954375179825,5,0.05349753466400643,0.030943426663762187,5,0.5461944062876004,0.027819453429566664,5
recurrence,100,100,rf,raw,0.7142364236423643,0.029582550037176823,10,0.5608033688680955,0.038506801557868495,10,0.16270357865973736,0.004282325948132842,10,0.08978582330582328,0.025937878643920987,10,0.505405123989962,0.01277492957871032,10
recurrence,100,100,rf,calibrated,0.715901590159016,0.02616749301501319,5,0.5691727455203375,0.030160337336694525,5,0.16555984878676908,0.008761210275739178,5,0.05993027327202387,0.026404744353925255,5,0.5090548778051011,0.02012468760589904,5
recurrence,100,100,rf_smote,raw,0.6785778577857786,0.04970321978813202,10,0.4570635680810657,0.0942736668422144,10,0.17275482271960263,0.011889182024731014,10,0.10000032385532368,0.024181288680905282,10,0.5290396058817455,0.024134017016888682,10
recurrence,100,100,rf_smote,calibrated,0.693009300930093,0.032182431254011774,5,0.46951525972769376,0.09539564785180824,5,0.16979628630687604,0.011325307059436891,5,0.07170873995052593,0.037177729761051326,5,0.5215749943462697,0.022791747602075495,5
recurrence,100,100,tabpfn,raw,0.7222022202220222,0.03082854311040454,10,0.6036881293401584,0.03166357623487302,10,0.15076474889296304,0.011037262446499642,10,0.07438379288998558,0.02594568454996851,10,0.47829911330726116,0.025308383440191966,10
recurrence,100,100,tabpfn,calibrated,0.733033303330333,0.029644118235519424,5,0.6138468777383158,0.030982397628439615,5,0.15684187252238307,0.01405456516749372,5,0.0705460435983262,0.017023415926778415,5,0.4907701293476583,0.028963410706165253,5
recurrence,100,100,xgboost,raw,0.646984698469847,0.06852374080313847,10,0.4497068491464595,0.08236053097949007,10,0.17806828859323534,0.017050002753981726,10,0.09957366426485771,0.03778076758760028,10,0.565846661732343,0.06584084523751087,10
recurrence,100,100,xgboost,calibrated,0.6379837983798381,0.10986929112137608,5,0.4340589311252822,0.1267926969110158,5,0.18148830814388894,0.010371415787676438,5,0.0469410975942542,0.036013901995670686,5,0.552357595971277,0.029494547431463566,5
recurrence,200,200,lightgbm,raw,0.7156915691569157,0.026005754230316497,10,0.5969798224625861,0.051870629154814274,10,0.1513285533637197,0.013280280177843657,10,0.1050968759415841,0.020428676445016093,10,0.5218116801319951,0.050985056631588754,10
recurrence,200,200,lightgbm,calibrated,0.7308730873087309,0.021853844360358126,5,0.6122670330751033,0.05821709647530139,5,0.15040652494859555,0.011287239026766174,5,0.06891057444264205,0.02600208811128766,5,0.4791810477823913,0.02186621352046497,5
recurrence,200,200,logistic,raw,0.6894989498949895,0.024828457146837287,10,0.5173188446302289,0.030895708597865026,10,0.17788541837033864,0.016875204795018056,10,0.08969682787637615,0.05765652027566484,10,0.5920839602589637,0.15035764325965645,10
recurrence,200,200,logistic,calibrated,0.6881488148814882,0.02048745818766301,5,0.5266377083712943,0.03824740998600836,5,0.16832381170735342,0.003876772496564685,5,0.04813292390063421,0.012926311964985856,5,0.5189217530657944,0.00914787711740645,5
recurrence,200,200,rf,raw,0.7497899789978999,0.017772462376530188,10,0.666001064418333,0.03313144970253321,10,0.15055141782989884,0.007476224221608782,10,0.11798696500704194,0.022404967158367848,10,0.4812738769426466,0.012326296908518688,10
recurrence,200,200,rf,calibrated,0.7455745574557456,0.019920952911558633,5,0.6495092475736585,0.01691346385669145,5,0.1501617281794274,0.009507735054856695,5,0.09334917981274714,0.019429117174311526,5,0.4813843116943703,0.013397479111270929,5
recurrence,200,200,rf_smote,raw,0.7225022502250225,0.03656229405960966,10,0.5653529812741304,0.05270630839470288,10,0.1653617636371416,0.006737762673106547,10,0.12340808290061267,0.021640529053317124,10,0.5130939519260649,0.015513052209637937,10
recurrence,200,200,rf_smote,calibrated,0.7315631563156316,0.04279026388124452,5,0.5752682105926497,0.03680095967426919,5,0.15864151487495898,0.007891558078532413,5,0.08608007631670136,0.013253052986743624,5,0.4933705449977522,0.019267088249865363,5
recurrence,200,200,tabpfn,raw,0.7543654365436544,0.01975953146996134,10,0.6678750568028817,0.02221559308608043,10,0.13516797905123218,0.005909875855896431,10,0.06928300834330384,0.02563883255291326,10,0.439342405196636,0.015407334086732227,10
recurrence,200,200,tabpfn,calibrated,0.7585358535853586,0.017891954091239507,5,0.6689356515920457,0.028038357162346317,5,0.135238414755195,0.007611276023869776,5,0.07254819972913273,0.024244307290835956,5,0.4374927127390328,0.019846762937867548,5
recurrence,200,200,xgboost,raw,0.7135013501350136,0.025938457047071248,10,0.5960978428254216,0.04680272707385957,10,0.14930637119494108,0.0096716944172506,10,0.09075662925780348,0.025216833558746102,10,0.4961196009888559,0.03536469964521124,10
recurrence,200,200,xgboost,calibrated,0.7136513651365137,0.019266972765220377,5,0.6023591176672158,0.0480520191179974,5,0.1521631156631431,0.008122134084124186,5,0.07628480158612523,0.033147152823816015,5,0.483513102974111,0.015026525741621756,5
recurrence,500,500,lightgbm,raw,0.7188118811881188,0.022794295575567926,10,0.6198544003863934,0.026548801449938104,10,0.14448748912768825,0.007346567358934485,10,0.08983738340581396,0.02246935751172524,10,0.4867952269964255,0.04711064783566387,10
recurrence,500,500,lightgbm,calibrated,0.7282328232823282,0.01802603629052955,5,0.627972507245165,0.02561320435821656,5,0.14419143627707406,0.004021423407469557,5,0.07552925543928171,0.010211353214270334,5,0.46339979992533964,0.009159267595905215,5
recurrence,500,500,logistic,raw,0.7690969096909691,0.02204543479677967,10,0.6382843465223226,0.029585248581465256,10,0.146528564535071,0.011814117340888924,10,0.08522758764770205,0.02175035191956165,10,0.4790301229163112,0.04187464934220252,10
recurrence,500,500,logistic,calibrated,0.7644164416441644,0.027038846360958376,5,0.6306261859892768,0.035887087206181306,5,0.14863328279191088,0.007883360685326695,5,0.06658998657332214,0.01267595685562984,5,0.467834763617466,0.02140098792908712,5
recurrence,500,500,rf,raw,0.7637113711371137,0.014150699504154134,10,0.6960810180325505,0.026882852269482047,10,0.14210460986102127,0.005899516038761192,10,0.1090699824927942,0.021138335277801016,10,0.45927774572388236,0.012875908225766843,10
recurrence,500,500,rf,calibrated,0.7571257125712572,0.014135680439728553,5,0.6907677533222472,0.02665561534503678,5,0.13696716524131264,0.004374808023003655,5,0.09913199096746043,0.031667819040420264,5,0.4498362039458975,0.010441986039743273,5
recurrence,500,500,rf_smote,raw,0.7728322832283229,0.014247661111195395,10,0.670134428969807,0.026858474632637998,10,0.1473779214134557,0.0058897530286572556,10,0.138399643612707,0.023856415188398445,10,0.47108948155628233,0.016586730541401896,10
recurrence,500,500,rf_smote,calibrated,0.7727272727272727,0.012373737121135792,5,0.6638152789635005,0.036271550190834854,5,0.14157656068899815,0.006883363414562773,5,0.0974523913369042,0.03408453250209359,5,0.45483754332618653,0.018113872902416145,5
recurrence,500,500,tabpfn,raw,0.784938493849385,0.005760437153151926,10,0.7064030446534769,0.011500855355465524,10,0.12437096632477643,0.001869677799041365,10,0.06267570270531213,0.008643942298861609,10,0.40852293811795876,0.004111966868196361,10
recurrence,500,500,tabpfn,calibrated,0.7863786378637865,0.00658359083633119,5,0.7093189997418845,0.0088293517477856,5,0.12533040074312296,0.00282487189657028,5,0.07176939691041308,0.0047355376765682,5,0.41184139581134704,0.008592279625790473,5
recurrence,500,500,xgboost,raw,0.739063906390639,0.025653315807931395,10,0.6551232701659754,0.033145681592419894,10,0.1370463999767552,0.005810566735247606,10,0.07797551825642586,0.01921479137724464,10,0.4492102892894122,0.016864281208514676,10
recurrence,500,500,xgboost,calibrated,0.754995499549955,0.017018076274593147,5,0.6706504965971973,0.025134992455303803,5,0.13741504622375633,0.005687180583318432,5,0.06841990887031726,0.019602024904025954,5,0.4462792888604444,0.01408725977461633,5
