feature,mean_absolute_shap,mean_signed_shap
primarily_metastasis,0.04745717481515991,0.04745717481515991
vascular_invasion_V,0.02905677808060621,-0.02905677808060621
hpv_association_p16,0.01389860196892793,-0.0026106838098106286
perinodal_invasion,0.013369760505156592,-0.002730939236547177
infiltration_depth_in_mm,0.012230449685982117,0.0035789381557454667
perineural_invasion_Pn,0.011527176422532648,-0.0038423000175195434
number_of_positive_lymph_nodes,0.010630194214172661,-0.0008263891795650125
smoking_status,0.008288737396166349,0.006773962338532631
pN_stage,0.006843399450493355,-0.0008868922595866024
grading,0.006024822301696986,-0.0003930305829271674
lymphovascular_invasion_L,0.005950568961755683,-0.0006215871738580366
pT_stage,0.005782513442682102,0.00027360746753402054
primary_tumor_site,0.005703354603610933,-0.0024894097975144782
sex,0.004659149039071053,-0.004659149039071053
carcinoma_in_situ,0.00463952047478718,0.00040635069793400663
age_at_initial_diagnosis,0.004552433461261292,-0.0025695190221692124
resection_status,0.00420074668363668,0.00420074668363668
resection_status_carcinoma_in_situ,0.003506027569528669,-0.0022309537744149566
histologic_type,0.001464026514440775,-0.0006214192835614085
