feature,mean_absolute_shap,mean_signed_shap
primarily_metastasis,0.021966818409661453,0.021966818409661453
perinodal_invasion,0.014182458272747075,0.0007274085170744607
pN_stage,0.013477398805359067,-0.00929187732496454
smoking_status,0.013006501680744501,0.011332615089486353
histologic_type,0.010310010897228494,0.0009302013301445792
hpv_association_p16,0.010272692243840234,0.005576194540481083
primary_tumor_site,0.007588564195126916,-0.0005834470600044975
perineural_invasion_Pn,0.007272868189223421,0.0012466027352881308
pT_stage,0.006825803609293264,0.00403529262500039
infiltration_depth_in_mm,0.006629580258352992,0.0033732792508089915
grading,0.0065084146287214635,0.0012416083627613261
resection_status_carcinoma_in_situ,0.006450406726798974,-0.0007261824939632788
lymphovascular_invasion_L,0.006018403956356148,0.00330251424262921
number_of_positive_lymph_nodes,0.005440345164970495,-0.004067575864610262
carcinoma_in_situ,0.005406874935336721,0.0009324305913954353
sex,0.003918406931916252,-0.0007016462235090634
resection_status,0.003884798449386532,-0.003884798449386532
age_at_initial_diagnosis,0.003544838837115094,-0.0006078454995683084
vascular_invasion_V,0.0,0.0
