target,split,model,iteration,n_train,n_context,n_test,test_events,n_features,roc_auc,average_precision,brier,ece,seconds
recurrence,Oropharynx,random_forest,0,380,580,287,60,97,0.675697503671072,0.43375836227794734,0.16053039772349065,0.1070442769465899,0.8277939590625465
recurrence,Oropharynx,tabpfn_native,0,380,380,287,60,97,0.681791483113069,0.46593341373592423,0.15010114760733625,0.07560315549062104,3.5860939999110997
recurrence,Oropharynx,tabpfn_smote,0,380,580,287,60,97,0.6284140969162996,0.38940437443234205,0.16491843804331757,0.124816794448146,3.288203166797757
recurrence,Oropharynx,random_forest,1,380,580,287,60,97,0.6827459618208517,0.41950777897857927,0.1594647541932992,0.1109733379575859,0.8457325422205031
recurrence,Oropharynx,tabpfn_native,1,380,380,287,60,97,0.6793685756240823,0.46647696720890597,0.1487645251813622,0.06868124864865678,3.1606722502037883
recurrence,Oropharynx,tabpfn_smote,1,380,580,287,60,97,0.6286343612334802,0.3903160662571854,0.1668350959930179,0.11923579353099294,3.2231165003031492
recurrence,Oropharynx,random_forest,2,380,580,287,60,97,0.6936123348017621,0.44723458355177126,0.1554094359394652,0.10918872865750424,0.8303189165890217
recurrence,Oropharynx,tabpfn_native,2,380,380,287,60,97,0.6808370044052863,0.47168713830570896,0.14857672495983656,0.07112261652946471,3.176706832833588
recurrence,Oropharynx,tabpfn_smote,2,380,580,287,60,97,0.6307635829662261,0.39197712652477523,0.16486191688593652,0.11845523754024444,5.336698250379413
recurrence,Oropharynx,random_forest,3,380,580,287,60,97,0.6919970631424376,0.43942598053828485,0.15841394322113572,0.11851896543052239,0.8381866659037769
recurrence,Oropharynx,tabpfn_native,3,380,380,287,60,97,0.6776798825256974,0.4614623602481864,0.15197086474113075,0.08643326846045483,3.269059166777879
recurrence,Oropharynx,tabpfn_smote,3,380,580,287,60,97,0.6225403817914831,0.3629310341623071,0.17191238190647204,0.13279396606421015,3.3764272909611464
recurrence,Oropharynx,random_forest,4,380,580,287,60,97,0.691776798825257,0.45786906740097033,0.15639960557140478,0.10565377023328469,0.8340103751979768
recurrence,Oropharynx,tabpfn_native,4,380,380,287,60,97,0.6783406754772394,0.46380425277076837,0.15013666041296914,0.08136085124900531,3.1703645419329405
recurrence,Oropharynx,tabpfn_smote,4,380,580,287,60,97,0.6195301027900146,0.392758634228938,0.16558394006419977,0.12773021511759491,3.3723447918891907
recurrence,in,random_forest,0,533,832,134,33,103,0.7898289828982898,0.6807258189572576,0.15109519298041044,0.15179570895522387,1.194416499696672
recurrence,in,tabpfn_native,0,533,533,134,33,103,0.7902790279027905,0.7111020833986074,0.12433374824057586,0.0570658726701096,3.7234682920388877
recurrence,in,tabpfn_smote,0,533,832,134,33,103,0.7107710771077109,0.6017537945939078,0.16480095326335442,0.14632578949190314,3.3583022081293166
recurrence,in,random_forest,1,533,832,134,33,103,0.7913291329132913,0.6886228028323796,0.14880892898787312,0.11931436567164179,1.2005268749780953
recurrence,in,tabpfn_native,1,533,533,134,33,103,0.786978697869787,0.7074618957889316,0.12441480360213508,0.06160614867486171,3.2067871671169996
recurrence,in,tabpfn_smote,1,533,832,134,33,103,0.7173717371737174,0.6305852607598977,0.15552988499541023,0.12492768116184134,3.413879207801074
recurrence,in,random_forest,2,533,832,134,33,103,0.7781278127812781,0.6692330312230388,0.1519236182369403,0.12243470149253734,1.1802711668424308
recurrence,in,tabpfn_native,2,533,533,134,33,103,0.7875787578757877,0.7095401019917583,0.1240225902203891,0.061273526789537104,3.2096180422231555
recurrence,in,tabpfn_smote,2,533,832,134,33,103,0.7338733873387339,0.6158623799422993,0.1537516932139008,0.13381551103770678,3.35848524980247
recurrence,in,random_forest,3,533,832,134,33,103,0.7977797779777979,0.6844308798687688,0.14991063724347015,0.15336287313432836,1.184755708090961
recurrence,in,tabpfn_native,3,533,533,134,33,103,0.7896789678967898,0.7166282572236625,0.12235744346899058,0.06756286045063786,3.1870585838332772
recurrence,in,tabpfn_smote,3,533,832,134,33,103,0.7215721572157215,0.6341844356433326,0.1647353885781694,0.1507226017845878,3.375893459189683
recurrence,in,random_forest,4,533,832,134,33,103,0.787878787878788,0.6648061198396411,0.1518880626166045,0.14086287313432833,1.1806387081742287
recurrence,in,tabpfn_native,4,533,533,134,33,103,0.791779177917792,0.7161342772587943,0.12275488682974824,0.07348618856561717,3.1745721250772476
recurrence,in,tabpfn_smote,4,533,832,134,33,103,0.7095709570957097,0.6256155253044581,0.17061710108736808,0.1673474083220197,3.335814082995057
recurrence,out,random_forest,0,534,830,133,31,103,0.7169512966476913,0.5105123774683088,0.16033377558561243,0.09113045957973617,0.8103183330968022
recurrence,out,tabpfn_native,0,534,534,133,31,103,0.7254901960784315,0.4951019192208006,0.14968473022500073,0.07251276288713727,3.321683708112687
recurrence,out,tabpfn_smote,0,534,830,133,31,103,0.6862745098039215,0.5243229107484418,0.16406004177378472,0.12139023878940738,3.3377777920104563
recurrence,out,random_forest,1,534,830,133,31,103,0.7194813409234662,0.5001753061545885,0.1602975050347511,0.10904464332340862,0.7990085417404771
recurrence,out,tabpfn_native,1,534,534,133,31,103,0.7273877292852625,0.49112496227215685,0.14919081675830578,0.08271073129840362,3.1898863329552114
recurrence,out,tabpfn_smote,1,534,830,133,31,103,0.6685641998734977,0.530313725205768,0.16378312792198188,0.12011323457485751,3.34517641691491
recurrence,out,random_forest,2,534,830,133,31,103,0.7090449082858951,0.516704709214667,0.15949333687191167,0.09837584027244066,0.80146099999547
recurrence,out,tabpfn_native,2,534,534,133,31,103,0.7242251739405439,0.4921582919573674,0.1502557345789936,0.05807419591828395,3.156612084247172
recurrence,out,tabpfn_smote,2,534,830,133,31,103,0.6834282099936748,0.5305861847481214,0.16441503228985915,0.12589915182189385,3.2975437501445413
recurrence,out,random_forest,3,534,830,133,31,103,0.7096774193548387,0.501041511641864,0.160292355297695,0.08817824496874976,0.8026048331521451
recurrence,out,tabpfn_native,3,534,534,133,31,103,0.7280202403542062,0.4885402749391182,0.15030625564403619,0.06430175373876902,3.149800708051771
recurrence,out,tabpfn_smote,3,534,830,133,31,103,0.6786843769765971,0.5303390889599277,0.161494133120595,0.12775338514658963,3.356761374976486
recurrence,out,random_forest,4,534,830,133,31,103,0.7194813409234662,0.511615112481693,0.15884074101223927,0.08525438872593352,0.8035076670348644
recurrence,out,tabpfn_native,4,534,534,133,31,103,0.7273877292852624,0.48926018399815174,0.14977817105837155,0.058103821947610476,3.1169837922789156
recurrence,out,tabpfn_smote,4,534,830,133,31,103,0.6682479443390259,0.5110345141609064,0.16830743077123508,0.14029433864301866,3.377020874992013
survival_status,Oropharynx,random_forest,0,376,610,298,53,97,0.6929919137466306,0.31589371500638663,0.1531935567685848,0.1277366836110434,0.8648453326895833
survival_status,Oropharynx,tabpfn_native,0,376,376,298,53,97,0.7693492491336158,0.45600747994615665,0.13055446104899865,0.11212124823023809,5.407556333113462
survival_status,Oropharynx,tabpfn_smote,0,376,610,298,53,97,0.6951097420100115,0.31054737735834603,0.15830244128663054,0.1355431988982221,3.3396175000816584
survival_status,Oropharynx,random_forest,1,376,610,298,53,97,0.714593762033115,0.3471959853441887,0.15153673043011745,0.1333585504493642,0.8522819578647614
survival_status,Oropharynx,tabpfn_native,1,376,376,298,53,97,0.7669618790912591,0.4545721502006772,0.13109617107572313,0.10752868674845503,3.245216582901776
survival_status,Oropharynx,tabpfn_smote,1,376,610,298,53,97,0.6874855602618407,0.31517453578037924,0.16377738006240156,0.14864677239300045,3.447470000013709
survival_status,Oropharynx,random_forest,2,376,610,298,53,97,0.708009241432422,0.34433348677802156,0.15157199759456044,0.12794174123788218,0.865357541013509
survival_status,Oropharynx,tabpfn_native,2,376,376,298,53,97,0.7715825953022719,0.46748184617143484,0.13118190613388794,0.10309607408090726,3.1136588333174586
survival_status,Oropharynx,tabpfn_smote,2,376,610,298,53,97,0.6877936080092414,0.3433673508633903,0.16419650197964863,0.1520508200183336,3.3481391249224544
survival_status,Oropharynx,random_forest,3,376,610,298,53,97,0.7234116288024643,0.34847604013086997,0.15112767815529454,0.13157019015659954,0.8903375840745866
survival_status,Oropharynx,tabpfn_native,3,376,376,298,53,97,0.7689641894493646,0.4589183245826599,0.13005147448978122,0.10956697288475581,5.1035627499222755
survival_status,Oropharynx,tabpfn_smote,3,376,610,298,53,97,0.6990373507893723,0.39363548102397644,0.1641610925601611,0.15494064855347886,3.3960842918604612
survival_status,Oropharynx,random_forest,4,376,610,298,53,97,0.714247208317289,0.32540026813470085,0.1528489793064877,0.13304809843400445,0.8483101250603795
survival_status,Oropharynx,tabpfn_native,4,376,376,298,53,97,0.7641124374278012,0.4485914886011882,0.13066761163515794,0.10097424235919979,5.326467958278954
survival_status,Oropharynx,tabpfn_smote,4,376,610,298,53,97,0.6859453215248363,0.36818819177281314,0.1609502268052576,0.14751722558789054,5.4671898749656975
survival_status,in,random_forest,0,537,876,137,25,102,0.7864285714285715,0.4570673156642925,0.1371671393188366,0.11080716892596451,0.8098112503066659
survival_status,in,tabpfn_native,0,537,537,137,25,102,0.8346428571428571,0.5841874613938147,0.11535376467418156,0.0723720547083738,3.452481041662395
survival_status,in,tabpfn_smote,0,537,876,137,25,102,0.7010714285714286,0.3728119940367388,0.16788596474950143,0.15850007132819113,3.949401750229299
survival_status,in,random_forest,1,537,876,137,25,102,0.7871428571428571,0.47002813929269216,0.1372023775445286,0.131706097471061,0.806879332754761
survival_status,in,tabpfn_native,1,537,537,137,25,102,0.8342857142857143,0.5797560565519357,0.11677260613323857,0.061727969370184155,5.278796250000596
survival_status,in,tabpfn_smote,1,537,876,137,25,102,0.6924999999999999,0.336282602196282,0.16886932384650238,0.15612586653374141,5.486476208083332
survival_status,in,random_forest,2,537,876,137,25,102,0.7878571428571429,0.47066807412948186,0.1358893066261252,0.11892099775731164,0.8418607502244413
survival_status,in,tabpfn_native,2,537,537,137,25,102,0.8385714285714286,0.5874877259134818,0.11551354264398064,0.06391041626623513,3.2652950421907008
survival_status,in,tabpfn_smote,2,537,876,137,25,102,0.6642857142857143,0.2861440551496317,0.16752661444079567,0.15042115020991412,5.525718250311911
survival_status,in,random_forest,3,537,876,137,25,102,0.7978571428571428,0.49219716030700467,0.13545443377487987,0.11788771970122332,0.8234169157221913
survival_status,in,tabpfn_native,3,537,537,137,25,102,0.8360714285714286,0.5956718125779609,0.11531591795541941,0.06501280765191916,5.216087624896318
survival_status,in,tabpfn_smote,3,537,876,137,25,102,0.7228571428571429,0.3338047579968668,0.1665010480179946,0.15331909378283542,3.504038999788463
survival_status,in,random_forest,4,537,876,137,25,102,0.7953571428571429,0.46416868347958484,0.13617912555542064,0.10736825285420173,0.8157733338885009
survival_status,in,tabpfn_native,4,537,537,137,25,102,0.8357142857142857,0.5771557914224574,0.11562121053977648,0.060592964291572585,3.2951826248317957
survival_status,in,tabpfn_smote,4,537,876,137,25,102,0.6907142857142856,0.33424647732514373,0.1735056315030203,0.16730510498979978,3.578126166947186
survival_status,out,random_forest,0,535,876,139,27,102,0.7782738095238095,0.4466528886405163,0.13641058769318976,0.07727146028177256,1.204719042405486
survival_status,out,tabpfn_native,0,535,535,139,27,102,0.7919973544973544,0.5695782449070023,0.12856768293797294,0.06672326235516036,3.5871137497015297
survival_status,out,tabpfn_smote,0,535,876,139,27,102,0.7529761904761905,0.3980577554573506,0.17278700553293294,0.16253302983632695,5.683187291026115
survival_status,out,random_forest,1,535,876,139,27,102,0.7845568783068783,0.47917264898669854,0.13567815275745487,0.11364350204238713,1.2014302080497146
survival_status,out,tabpfn_native,1,535,535,139,27,102,0.7886904761904763,0.556699336110153,0.1293806196146506,0.06766507076434523,3.2108396249823272
survival_status,out,tabpfn_smote,1,535,876,139,27,102,0.7341269841269841,0.3764223006046534,0.1755270003336006,0.16803496458059722,3.446238082833588
survival_status,out,random_forest,2,535,876,139,27,102,0.7794312169312169,0.4476929810852797,0.13551988931732778,0.09904978051051984,1.211152708157897
survival_status,out,tabpfn_native,2,535,535,139,27,102,0.7903439153439153,0.5642450091900088,0.12799825203443627,0.07762890736565745,3.113665834069252
survival_status,out,tabpfn_smote,2,535,876,139,27,102,0.7301587301587302,0.3707274143750714,0.16710510875477638,0.15180249390085127,3.32730875024572
survival_status,out,random_forest,3,535,876,139,27,102,0.7819113756613756,0.44782333935792046,0.1368675170521057,0.061326099975323956,1.2341481251642108
survival_status,out,tabpfn_native,3,535,535,139,27,102,0.789021164021164,0.562727671153532,0.1289576727325993,0.06704220147602422,3.175022166222334
survival_status,out,tabpfn_smote,3,535,876,139,27,102,0.7443783068783069,0.3880457572550017,0.17895710688150426,0.17375013661334665,3.4634987078607082
survival_status,out,random_forest,4,535,876,139,27,102,0.7744708994708995,0.4319393816977133,0.13649365665979493,0.0665433649999889,1.2851921250112355
survival_status,out,tabpfn_native,4,535,535,139,27,102,0.7880291005291005,0.5650447149017664,0.12973580691268327,0.07981718336935523,3.266611374914646
survival_status,out,tabpfn_smote,4,535,876,139,27,102,0.7387566137566137,0.38912996491463386,0.17839033614608868,0.17725864542460174,3.38106174999848
