target,split,model,auc_difference,ci_low,ci_high,bootstrap_samples,bootstrap_seed
survival_status,in,tabpfn_smote,-0.09664285714285716,-0.1837285714285714,-0.010357142857142924,2000,20260921
survival_status,in,tabpfn_native,0.044928571428571436,0.0015624999999999981,0.09285892857142855,2000,20260921
survival_status,out,tabpfn_smote,-0.0396494708994709,-0.0878306878306878,0.012109788359788322,2000,20260921
survival_status,out,tabpfn_native,0.009887566137566134,-0.03531746031746031,0.057690145502645396,2000,20260921
survival_status,Oropharynx,tabpfn_smote,-0.019576434347323826,-0.08516692337312283,0.04750404312668463,2000,20260921
survival_status,Oropharynx,tabpfn_native,0.05754331921447825,0.006668656141701967,0.10696765498652284,2000,20260921
recurrence,in,tabpfn_smote,-0.07035703570357035,-0.1326582658265827,-0.0153547854785479,2000,20260921
recurrence,in,tabpfn_native,0.00027002700270026855,-0.0363936393639364,0.0340316531653165,2000,20260921
recurrence,out,tabpfn_smote,-0.03788741302972802,-0.09235294117647058,0.014753320683111866,2000,20260921
recurrence,out,tabpfn_native,0.01157495256166983,-0.03618279569892473,0.06232289690069564,2000,20260921
recurrence,Oropharynx,tabpfn_smote,-0.06118942731277534,-0.10773898678414097,-0.015263950073421437,2000,20260921
recurrence,Oropharynx,tabpfn_native,-0.007562408223201171,-0.05706626284875185,0.04621732745961817,2000,20260921
